Date,BTC-USD,ETH-USD,LTC-USD
2019-06-24,11011.1025390625,310.4246826171875,135.5327606201172
2019-06-25,11790.9169921875,318.1263122558594,136.48939514160156
2019-06-26,13016.2314453125,336.753173828125,131.2650909423828
2019-06-27,11182.806640625,294.26763916015625,114.40476989746094
2019-06-28,12407.33203125,311.2261047363281,120.15009307861328
2019-06-29,11959.37109375,320.05889892578125,133.66278076171875
2019-06-30,10817.1552734375,290.69598388671875,122.24911499023438
2019-07-01,10583.134765625,293.64111328125,122.5837173461914
2019-07-02,10801.677734375,291.596435546875,119.2436981201172
2019-07-03,11961.26953125,303.0999755859375,122.56411743164062
2019-07-04,11215.4375,284.5232238769531,119.97692108154295
2019-07-05,10978.4599609375,287.9975280761719,118.35250854492188
2019-07-06,11208.55078125,287.547119140625,117.82362365722656
2019-07-07,11450.8466796875,305.7005615234375,120.32087707519533
2019-07-08,12285.9580078125,313.2514038085937,123.28548431396484
2019-07-09,12573.8125,308.8810119628906,119.4328155517578
2019-07-10,12156.5126953125,290.0023193359375,108.50025939941406
2019-07-11,11358.662109375,268.7040405273437,102.64430236816406
2019-07-12,11815.986328125,276.2767028808594,105.30005645751952
2019-07-13,11392.37890625,269.45880126953125,101.02479553222656
2019-07-14,10256.05859375,227.57806396484372,89.77047729492188
2019-07-15,10895.08984375,229.7760009765625,90.9229736328125
2019-07-16,9477.6416015625,199.1886749267578,79.49993133544922
2019-07-17,9693.802734375,211.48497009277344,89.81072235107422
2019-07-18,10666.482421875,226.566162109375,101.08541870117188
2019-07-19,10530.732421875,221.3334197998047,98.40265655517578
2019-07-20,10767.1396484375,229.1192169189453,100.60993957519533
2019-07-21,10599.10546875,225.6307678222656,99.6275863647461
2019-07-22,10343.1064453125,217.5600128173828,95.41738891601562
2019-07-23,9900.767578125,212.728515625,90.62262725830078
2019-07-24,9811.92578125,217.0463714599609,94.3096694946289
2019-07-25,9911.841796875,219.6179962158203,93.44631958007812
2019-07-26,9870.3037109375,219.62960815429688,94.30501556396484
2019-07-27,9477.677734375,207.40830993652344,88.88902282714844
2019-07-28,9552.8603515625,211.18655395507807,89.76933288574219
2019-07-29,9519.1455078125,211.2680511474609,90.42642211914062
2019-07-30,9607.423828125,210.5225982666016,90.56694793701172
2019-07-31,10085.6279296875,218.65414428710935,98.50957489013672
2019-08-01,10399.6689453125,217.80844116210935,99.17972564697266
2019-08-02,10518.1748046875,217.8715667724609,94.94129180908205
2019-08-03,10821.7265625,222.49034118652344,94.58087921142578
2019-08-04,10970.1845703125,222.6697235107422,93.20378112792967
2019-08-05,11805.6533203125,234.21502685546875,96.83464813232422
2019-08-06,11478.1689453125,226.0206451416016,93.06971740722656
2019-08-07,11941.96875,226.39100646972656,90.91259765625
2019-08-08,11966.4072265625,220.94186401367188,90.03160858154297
2019-08-09,11862.9365234375,210.4889068603516,84.43937683105469
2019-08-10,11354.0244140625,206.7335357666016,85.41947937011719
2019-08-11,11523.5791015625,216.0928649902344,89.75267028808594
2019-08-12,11382.6162109375,211.2880706787109,85.74922943115234
2019-08-13,10895.830078125,208.70904541015625,84.40614318847656
2019-08-14,10051.7041015625,186.6077423095703,76.06498718261719
2019-08-15,10311.5458984375,188.50205993652344,76.38897705078125
2019-08-16,10374.3388671875,185.4400787353516,74.92015075683594
2019-08-17,10231.744140625,185.68768310546875,72.79772186279297
2019-08-18,10345.810546875,194.4935302734375,76.26995086669922
2019-08-19,10916.0537109375,203.0919342041016,77.26319122314453
2019-08-20,10763.232421875,196.5654144287109,75.19656372070312
2019-08-21,10138.0498046875,186.89163208007807,72.96495056152344
2019-08-22,10131.0556640625,191.3329162597656,73.59859466552734
2019-08-23,10407.96484375,194.70620727539065,75.40281677246094
2019-08-24,10159.9609375,191.28956604003903,73.46361541748047
2019-08-25,10138.517578125,186.84239196777344,72.30814361572266
2019-08-26,10370.8203125,188.92938232421875,73.857177734375
2019-08-27,10185.5,187.51666259765625,72.83622741699219
2019-08-28,9754.4228515625,173.8899688720703,67.42554473876953
2019-08-29,9510.2001953125,169.51673889160156,64.09805297851562
2019-08-30,9598.173828125,168.83486938476562,64.33297729492188
2019-08-31,9630.6640625,172.46978759765625,64.5760498046875
2019-09-01,9757.970703125,171.62942504882812,66.14472198486328
2019-09-02,10346.7607421875,178.34735107421875,66.94495391845703
2019-09-03,10623.5400390625,179.49932861328125,69.12925720214844
2019-09-04,10594.4931640625,175.99288940429688,67.28562927246094
2019-09-05,10575.533203125,174.21713256835938,65.39556884765625
2019-09-06,10353.302734375,169.9561767578125,65.22820281982422
2019-09-07,10517.2548828125,178.2626190185547,69.03871154785156
2019-09-08,10441.2763671875,181.35552978515625,70.54936981201172
2019-09-09,10334.974609375,181.1494598388672,70.1922378540039
2019-09-10,10115.9755859375,179.78717041015625,70.82339477539062
2019-09-11,10178.3720703125,178.72549438476562,69.9221420288086
2019-09-12,10410.126953125,181.0160980224609,69.2250747680664
2019-09-13,10360.546875,181.10972595214844,68.98861694335938
2019-09-14,10358.048828125,188.1055145263672,70.56230163574219
2019-09-15,10347.712890625,189.78912353515625,70.31517791748047
2019-09-16,10276.7939453125,197.11317443847656,72.57311248779297
2019-09-17,10241.2724609375,208.60874938964844,74.22122955322266
2019-09-18,10198.248046875,211.39303588867188,77.96913146972656
2019-09-19,10266.4150390625,221.2808532714844,77.05962371826172
2019-09-20,10181.6416015625,218.050048828125,75.14909362792969
2019-09-21,10019.716796875,215.5162048339844,73.51652526855469
2019-09-22,10070.392578125,211.54537963867188,72.61611938476562
2019-09-23,9729.32421875,201.9213104248047,66.85189056396484
2019-09-24,8620.56640625,168.11073303222656,55.823638916015625
2019-09-25,8486.9931640625,170.8927001953125,57.65800857543945
2019-09-26,8118.9677734375,166.7271270751953,55.540618896484375
2019-09-27,8251.845703125,174.71099853515625,56.36084747314453
2019-09-28,8245.9150390625,174.57289123535156,55.682247161865234
2019-09-29,8104.185546875,170.50347900390625,54.31954574584961
2019-09-30,8293.8681640625,179.87220764160156,56.056907653808594
2019-10-01,8343.2763671875,177.34042358398438,56.05807495117188
2019-10-02,8393.0419921875,180.71051025390625,56.50892639160156
2019-10-03,8259.9921875,175.1993408203125,56.54681396484375
2019-10-04,8205.939453125,176.98500061035156,56.85321044921875
2019-10-05,8151.50048828125,176.3515167236328,56.8438720703125
2019-10-06,7988.15576171875,173.05914306640625,55.41156768798828
2019-10-07,8245.623046875,181.18634033203125,57.78829956054688
2019-10-08,8228.783203125,182.0215606689453,57.39858627319336
2019-10-09,8595.740234375,193.2932586669922,59.43086624145508
2019-10-10,8586.4736328125,191.65966796875,57.77608489990234
2019-10-11,8321.7568359375,182.56968688964844,56.29697036743164
2019-10-12,8336.5556640625,180.8266448974609,55.98286819458008
2019-10-13,8321.005859375,182.0751495361328,56.71399688720703
